Gwadar; Mogadishu; 15000; 200; 8
Gwadar; Kismayo; 15000; 200; 8
Gwadar; Mombasa; 15000; 200; 8
Gwadar; Djibouti City; 15000; 200; 8
Gwadar; Zafarana; 15000; 200; 8
Haifa; Tel Aviv; 7000 km; 75; 5 
Haifa; Pentaskhinos; 7000 km; 75; 5 
Haifa; Chania; 7000 km; 75; 5  
Haifa; Athens; 7000 km; 75; 5 
Haifa; Istanbul; 7000 km; 75; 5 
Haifa; Yeroskipos; 345 km; 15; 1
Haina; Nanny Cay; 1750 km; 30; 2
Haina; Harbour View; 1750 km; 30; 2
Haines; Skagway; 138 km; 30; 2
Haines; Lena Point; 138 km; 30; 2
Half Moon Bay; Cayman Brac; 870 km; 15; 1 
Half Moon Bay; Puerto Limon; 4400 km; 150; 6
Half Moon Bay; Maria Chiquita; 4400 km; 150; 6
Half Moon Bay; Tolu; 4400 km; 150; 6
Half Moon Bay; Puerto Cortes; 4400 km; 150; 6
Half Moon Bay; Cancún; 4400 km; 150; 6
Half Moon Bay; Hollywood; 4400 km; 150; 6
Halifax; Lynn; 12200 km; 60; 4
Halifax; Coleraine; 12200 km; 60; 4
Halifax; Dublin; 12200 km; 60; 4 
Halifax; Southport; 12200 km; 60; 4
Halifax; Brean; 4600 km; 30; 2
Halifax; Cork; 4600 km; 30; 2
Halul Island; 100 km; Das Island; 30; 2
Halul Island; 100 km; Doha; 30; 2
Hanko; Helsinki; 0 km; 30; 2
Hanko; Stockholm; 0 km; 30; 2
Hanko; Helsinki; 513 km; 45; 3
Hanko; Haradsholm; 513 km; 45; 3
Hanko; Mariehamn; 513 km; 45; 3
Hanko; Helsinki; 1172 km; 30; 2
Hanko; Rostock; 1172 km; 30; 2
Hao; Makemo; 2400 km; 250; 10
Hao; Fakarava; 2400 km; 250; 10
Hao; Kaukura; 2400 km; 250; 10
Hao; Arutua; 2400 km; 250; 10
Hao; Hitia'a; 2400 km; 250; 10
Hao; Rangiroa; 2400 km; 250; 10
Hao; Manihi; 2400 km; 250; 10
Hao; Takaroa; 2400 km; 250; 10
Hao; Hiva Oa; 2400 km; 250; 10
Hao; Nuku Hiva; 2400 km; 250; 10
Haradsholm; Hanko; 513 km; 30; 2
Haradsholm; Mariehamn; 513 km; 30; 2
Harbour Pointe; Grover Beach; 21000 km; 30; 2
Harbour Pointe; Ajigaura; 21000 km; 30; 2
Harbour View; Haina; 1750 km; 30; 2
Harbour View; Nanny Cay; 1750 km; 30; 2
Havelet Bay; Greve de Lecq; 64 km; 15; 1
Havelock; Long Island; 2300 km; 30; 2
Havelock; Port Blair; 2300 km; 30; 2
Hawaii Kai; Kaunakakai; 576 km; 15; 1
Hawk Inlet; Juneau; 626 km; 30; 2
Hawk Inlet; Angoon;  626 km; 30; 2
Hawksbill; Sandy Point; 2817 km; 30; 2 
Hawksbill; Nassau; 2817 km; 30; 2 
Hawksbill; Riding Point; 1100 km; 60; 4
Hawksbill; Caves Point; 1100 km; 60; 4
Hawksbill; Spanish River Park; 1100 km; 60; 4
Hawksbill; Boca Rato; 1100 km; 60; 4
Helsingborg; Helsingør; 5 km; 15; 1
Helsingborg; Helsingør; 0 km; 15; 1
Helsingborg; Helsingør; 5 km; 15; 1
Helsingør; Helsingborg;  5 km; 15; 1
Helsingør;  Helsingborg;  0 km; 15; 1
Helsingør; Helsingborg;  5 km; 15; 1
Helsinki; Hanko; 513 km; 15; 1
Helsinki; Kotka; 280.4 km; 15; 1
Helsinki; Tallinn; 1042 km; 30; 2
Helsinki; Stockholm; 1042 km; 30; 2
Helsinki; Hanko; 1172 km; 30; 2
Helsinki; Rostock; 1172 km; 30; 2
Helsinki; Kotka; 0 km; 30; 2
Helsinki; Hanko; 0 km; 30; 2
Helsinki; Tallinn; 250 km; 15; 1
Helsinki; Tallinn; 98 km; 15; 1
Helsinki; Meremöisa; 104 km; 15; 1

Taba; Aqaba; 13 km; 15; 1
Tachognya Beach; Sugar Dock; 276 km; 45; 3
Tachognya Beach; Sasanlagu; 276 km; 45; 3
Tachognya Beach; Piti;  276 km; 45; 3
Tagbilaran; Naga; 1300 km; 15; 1
Tahuna; Melonguane; 2100 km; 30; 2
Tahuna; Ondong Siau; 2100 km; 30; 2
Taipa; Geoje; 39000 km; 585; 13
Taipa; Shanghai; 39000 km; 585; 13
Taipa; Okinawa; 39000 km; 585; 13
Taipa; Toucheng; 39000 km; 585; 13
Taipa; Fangshan; 39000 km; 585; 13
Taipa; Shantou; 39000 km; 585; 13
Taipa; Batangas; 39000 km; 585; 13
Taipa; Danang; 39000 km; 585; 13
Taipa; Tungku; 39000 km; 585; 13
Taipa; Mersing; 39000 km; 585; 13
Taipa; Ancol; 39000 km; 585; 13
Taipa; Perth; 39000 km; 585; 13
Taipa; Tuas; 39000 km; 585; 13
Takapuna; Spencer Beach; 30500 km; 30; 2
Takapuna; Alexandria; 30500 km; 30; 2
Takapuna; Alexandria; 13700 km; 175; 7
Takapuna; Suva; 13700 km; 175; 7
Takapuna; Savusavu; 13700 km; 175; 7
Takapuna; Apia; 13700 km; 175; 7
Takapuna; Nukunonu; 13700 km; 175; 7
Takapuna; Kiritimati; 13700 km; 175; 7
Takapuna; Los Angeles; 13700 km; 175; 7
Takaroa; Hiva Oa; 2400 km; 250; 10
Takaroa; Nuku Hiva; 2400 km; 250; 10
Takaroa; Manihi; 2400 km; 250; 10
Takaroa; Rangiroa; 2400 km; 250; 10
Takaroa; Arutua; 2400 km; 250; 10
Takaroa; Kaukura; 2400 km; 250; 10
Takaroa; Fakarava; 2400 km; 250; 10
Takaroa; Makemo; 2400 km; 250; 10
Takaroa; Hao; 2400 km; 250; 10
Takaroa; Hitia'a; 2400 km; 250; 10
Takesung; Ujung Pankah; 543 km; 15; 1
